geo_level,geo_code,area,sex,maritalstatus,total,geo_version
district,175,Urban,Male,never married,436785,2011
district,176,Rural,Male,never married,864182,2011
district,176,Urban,Male,never married,101607,2011
district,177,Rural,Male,never married,586235,2011
district,177,Urban,Male,never married,101087,2011
district,178,Rural,Male,never married,586946,2011
district,178,Urban,Male,never married,85971,2011
district,179,Rural,Male,never married,983160,2011
district,179,Urban,Male,never married,57397,2011
district,180,Rural,Male,never married,954335,2011
district,180,Urban,Male,never married,87395,2011
district,181,Rural,Male,never married,308555,2011
district,181,Urban,Male,never married,11649,2011
district,182,Rural,Male,never married,581302,2011
district,182,Urban,Male,never married,51153,2011
district,183,Rural,Male,never married,911874,2011
district,183,Urban,Male,never married,67729,2011
district,184,Rural,Male,never married,683995,2011
district,184,Urban,Male,never married,48335,2011
district,185,Rural,Male,never married,661660,2011
district,185,Urban,Male,never married,40078,2011
district,186,Rural,Male,never married,457515,2011
district,186,Urban,Male,never married,38970,2011
district,187,Rural,Male,never married,701343,2011
district,187,Urban,Male,never married,38307,2011
district,188,Rural,Male,never married,1017272,2011
district,188,Urban,Male,never married,235988,2011
district,189,Rural,Male,never married,961921,2011
district,189,Urban,Male,never married,49556,2011
district,190,Rural,Male,never married,777505,2011
district,190,Urban,Male,never married,91223,2011
district,191,Rural,Male,never married,1192619,2011
district,191,Urban,Male,never married,121877,2011
district,192,Rural,Male,never married,488438,2011
district,192,Urban,Male,never married,158243,2011
district,193,Rural,Male,never married,836717,2011
district,193,Urban,Male,never married,88733,2011
district,194,Rural,Male,never married,1157758,2011
district,194,Urban,Male,never married,104212,2011
district,195,Rural,Male,never married,958262,2011
district,195,Urban,Male,never married,82703,2011
district,196,Rural,Male,never married,475711,2011
district,196,Urban,Male,never married,72687,2011
district,197,Rural,Male,never married,589401,2011
district,197,Urban,Male,never married,473376,2011
district,198,Rural,Male,never married,385077,2011
district,198,Urban,Male,never married,70586,2011
district,199,Rural,Male,never married,616992,2011
district,199,Urban,Male,never married,104211,2011
district,200,Rural,Male,never married,437277,2011
district,200,Urban,Male,never married,90161,2011
district,201,Rural,Male,never married,472445,2011
district,201,Urban,Male,never married,81316,2011
district,202,Rural,Male,never married,365520,2011
district,202,Urban,Male,never married,89785,2011
district,203,Rural,Male,never married,1035451,2011
