geo_level,geo_code,area,sex,total,geo_version
district,193,Rural,Male,1514018,2011
district,193,Urban,Male,158884,2011
district,194,Rural,Male,2041217,2011
district,194,Urban,Male,179248,2011
district,195,Rural,Male,1711651,2011
district,195,Urban,Male,143424,2011
district,196,Rural,Male,890630,2011
district,196,Urban,Male,127275,2011
district,197,Rural,Male,1076526,2011
district,197,Urban,Male,845331,2011
district,198,Rural,Male,686589,2011
district,198,Urban,Male,120510,2011
district,199,Rural,Male,1127138,2011
district,199,Urban,Male,185164,2011
district,200,Rural,Male,803345,2011
district,200,Urban,Male,167999,2011
district,201,Rural,Male,805589,2011
district,201,Urban,Male,141750,2011
district,202,Rural,Male,612556,2011
district,202,Urban,Male,151609,2011
state,10,Rural,Male,48073850,2011
state,10,Urban,Male,6204307,2011
district,203,Rural,Male,1853809,2011
district,203,Urban,Male,207301,2011
district,204,Rural,Male,2468181,2011
district,204,Urban,Male,213028,2011
district,205,Rural,Male,331792,2011
district,205,Urban,Male,14881,2011
district,206,Rural,Male,1701685,2011
district,206,Urban,Male,101567,2011
district,207,Rural,Male,2244287,2011
district,207,Urban,Male,85026,2011
district,208,Rural,Male,1099495,2011
district,208,Urban,Male,55788,2011
district,209,Rural,Male,1374254,2011
district,209,Urban,Male,89079,2011
district,210,Rural,Male,783318,2011
district,210,Urban,Male,83652,2011
district,211,Rural,Male,1519522,2011
district,211,Urban,Male,179848,2011
district,212,Rural,Male,1455744,2011
district,212,Urban,Male,144686,2011
district,213,Rural,Male,1000760,2011
district,213,Urban,Male,46799,2011
district,214,Rural,Male,913883,2011
district,214,Urban,Male,83291,2011
district,215,Rural,Male,1858545,2011
district,215,Urban,Male,201404,2011
district,216,Rural,Male,2276812,2011
district,216,Urban,Male,250685,2011
district,217,Rural,Male,1184967,2011
district,217,Urban,Male,82699,2011
district,218,Rural,Male,1579685,2011
district,218,Urban,Male,95405,2011
district,219,Rural,Male,1838119,2011
district,219,Urban,Male,184702,2011
district,220,Rural,Male,1721221,2011
district,220,Urban,Male,123314,2011
district,221,Rural,Male,2152273,2011
district,221,Urban,Male,77730,2011
district,222,Rural,Male,1266308,2011
district,222,Urban,Male,301352,2011
district,223,Rural,Male,837281,2011
district,223,Urban,Male,46505,2011
district,224,Rural,Male,1295386,2011
district,224,Urban,Male,320277,2011
district,225,Rural,Male,1029097,2011
district,225,Urban,Male,38043,2011
district,226,Rural,Male,527299,2011
district,226,Urban,Male,201742,2011
district,227,Rural,Male,450863,2011
district,227,Urban,Male,75482,2011
district,228,Rural,Male,272360,2011
district,228,Urban,Male,57383,2011
district,229,Rural,Male,1257728,2011
district,229,Urban,Male,239332,2011
district,230,Rural,Male,1746025,2011
district,230,Urban,Male,1332487,2011
district,231,Rural,Male,1224274,2011
district,231,Urban,Male,206106,2011
district,232,Rural,Male,801086,2011
district,232,Urban,Male,86891,2011
district,233,Rural,Male,812298,2011
district,233,Urban,Male,34708,2011
district,234,Rural,Male,1318276,2011
district,234,Urban,Male,225270,2011
district,235,Rural,Male,1194619,2011
district,235,Urban,Male,124065,2011
district,236,Rural,Male,1960592,2011
district,236,Urban,Male,305974,2011
district,237,Rural,Male,1031656,2011
district,237,Urban,Male,113012,2011
district,238,Rural,Male,839776,2011
district,238,Urban,Male,76288,2011
district,239,Rural,Male,514154,2011
district,239,Urban,Male,71428,2011
district,240,Rural,Male,336420,2011
district,240,Urban,Male,27077,2011
state,11,Rural,Male,242797,2011
state,11,Urban,Male,80273,2011
district,241,Rural,Male,22274,2011
district,241,Urban,Male,2456,2011
district,242,Rural,Male,67528,2011
district,242,Urban,Male,2710,2011
district,243,Rural,Male,65848,2011
district,243,Urban,Male,10822,2011
district,244,Rural,Male,87147,2011
district,244,Urban,Male,64285,2011
state,12,Rural,Male,546011,2011
state,12,Urban,Male,167901,2011
district,245,Rural,Male,20792,2011
district,245,Urban,Male,8359,2011
district,246,Rural,Male,37809,2011
district,246,Urban,Male,8346,2011
district,247,Rural,Male,29506,2011
district,247,Urban,Male,9269,2011
district,248,Rural,Male,39935,2011
district,248,Urban,Male,49247,2011
district,249,Rural,Male,34840,2011
district,249,Urban,Male,6918,2011
district,250,Rural,Male,44687,2011
district,250,Urban,Male,13481,2011
district,251,Rural,Male,36147,2011
district,251,Urban,Male,13969,2011
district,252,Rural,Male,15335,2011
district,252,Urban,Male,3364,2011
district,253,Rural,Male,66283,2011
district,253,Urban,Male,10665,2011
district,254,Rural,Male,46185,2011
district,254,Urban,Male,11419,2011
district,255,Rural,Male,35460,2011
district,255,Urban,Male,6383,2011
district,256,Rural,Male,44072,2011
district,256,Urban,Male,1246,2011
district,257,Rural,Male,3098,2011
district,257,Urban,Male,1316,2011
district,258,Rural,Male,21989,2011
district,258,Urban,Male,6064,2011
district,259,Rural,Male,58991,2011
district,259,Urban,Male,17230,2011
district,260,Rural,Male,10882,2011
district,260,Urban,Male,625,2011
state,13,Rural,Male,725472,2011
state,13,Urban,Male,299177,2011
district,261,Rural,Male,113469,2011
district,261,Urban,Male,18284,2011
district,262,Rural,Male,71373,2011
district,262,Urban,Male,29719,2011
district,263,Rural,Male,56786,2011
district,263,Urban,Male,14431,2011
district,264,Rural,Male,66435,2011
district,264,Urban,Male,18070,2011
district,265,Rural,Male,93435,2011
district,265,Urban,Male,103959,2011
district,266,Rural,Male,70529,2011
district,266,Urban,Male,13214,2011
district,267,Rural,Male,82462,2011
district,267,Urban,Male,19471,2011
district,268,Rural,Male,22511,2011
district,268,Urban,Male,3991,2011
district,269,Rural,Male,29243,2011
district,269,Urban,Male,8587,2011
district,270,Rural,Male,76369,2011
district,270,Urban,Male,62597,2011
district,271,Rural,Male,42860,2011
district,271,Urban,Male,6854,2011
state,14,Rural,Male,1026884,2011
state,14,Urban,Male,411702,2011
district,272,Rural,Male,243603,2011
district,272,Urban,Male,3720,2011
district,273,Rural,Male,62534,2011
district,273,Urban,Male,9837,2011
district,274,Rural,Male,129659,2011
district,274,Urban,Male,9161,2011
