geo_level,geo_code,area,sex,education,total,geo_version
district,70,Urban,Male,Literate Without Level,9355,2011
district,71,Rural,Male,Literate Without Level,8400,2011
district,71,Urban,Male,Literate Without Level,3891,2011
district,72,Rural,Male,Literate Without Level,6597,2011
district,72,Urban,Male,Literate Without Level,2287,2011
district,73,Rural,Male,Literate Without Level,5076,2011
district,73,Urban,Male,Literate Without Level,1418,2011
district,74,Rural,Male,Literate Without Level,6808,2011
district,74,Urban,Male,Literate Without Level,3913,2011
district,75,Rural,Male,Literate Without Level,8018,2011
district,75,Urban,Male,Literate Without Level,7067,2011
district,76,Rural,Male,Literate Without Level,5888,2011
district,76,Urban,Male,Literate Without Level,3651,2011
district,77,Rural,Male,Literate Without Level,9085,2011
district,77,Urban,Male,Literate Without Level,2871,2011
district,78,Rural,Male,Literate Without Level,4516,2011
district,78,Urban,Male,Literate Without Level,1262,2011
district,79,Rural,Male,Literate Without Level,6805,2011
district,79,Urban,Male,Literate Without Level,2641,2011
district,80,Rural,Male,Literate Without Level,7612,2011
district,80,Urban,Male,Literate Without Level,4435,2011
district,81,Rural,Male,Literate Without Level,7373,2011
district,81,Urban,Male,Literate Without Level,1999,2011
district,82,Rural,Male,Literate Without Level,3933,2011
district,82,Urban,Male,Literate Without Level,3122,2011
district,83,Rural,Male,Literate Without Level,6837,2011
district,83,Urban,Male,Literate Without Level,3054,2011
district,84,Rural,Male,Literate Without Level,4150,2011
district,84,Urban,Male,Literate Without Level,651,2011
district,85,Rural,Male,Literate Without Level,6625,2011
district,85,Urban,Male,Literate Without Level,1669,2011
district,86,Rural,Male,Literate Without Level,2171,2011
district,86,Urban,Male,Literate Without Level,8269,2011
district,87,Rural,Male,Literate Without Level,8144,2011
district,87,Urban,Male,Literate Without Level,2427,2011
district,88,Rural,Male,Literate Without Level,3510,2011
district,88,Urban,Male,Literate Without Level,15191,2011
district,89,Rural,Male,Literate Without Level,6300,2011
district,89,Urban,Male,Literate Without Level,1543,2011
district,90,Rural,Male,Literate Without Level,1090,2011
district,90,Urban,Male,Literate Without Level,30086,2011
district,91,Rural,Male,Literate Without Level,138,2011
district,91,Urban,Male,Literate Without Level,6975,2011
district,92,Rural,Male,Literate Without Level,243,2011
district,92,Urban,Male,Literate Without Level,24478,2011
district,93,Rural,Male,Literate Without Level,11,2011
district,93,Urban,Male,Literate Without Level,23355,2011
district,94,Rural,Male,Literate Without Level,0,2011
district,94,Urban,Male,Literate Without Level,2588,2011
district,95,Rural,Male,Literate Without Level,0,2011
district,95,Urban,Male,Literate Without Level,9584,2011
district,96,Rural,Male,Literate Without Level,63,2011
district,96,Urban,Male,Literate Without Level,36933,2011
district,97,Rural,Male,Literate Without Level,2633,2011
district,97,Urban,Male,Literate Without Level,38951,2011
district,98,Rural,Male,Literate Without Level,282,2011
district,98,Urban,Male,Literate Without Level,62542,2011
district,99,Rural,Male,Literate Without Level,19404,2011
district,99,Urban,Male,Literate Without Level,6699,2011
state,18,Rural,Male,Middle,1885166,2011
district,100,Rural,Male,Literate Without Level,31823,2011
district,100,Urban,Male,Literate Without Level,9905,2011
district,101,Rural,Male,Literate Without Level,19708,2011
district,101,Urban,Male,Literate Without Level,12610,2011
district,102,Rural,Male,Literate Without Level,36936,2011
district,102,Urban,Male,Literate Without Level,10256,2011
district,103,Rural,Male,Literate Without Level,22613,2011
district,103,Urban,Male,Literate Without Level,9393,2011
district,104,Rural,Male,Literate Without Level,29985,2011
district,104,Urban,Male,Literate Without Level,5770,2011
district,105,Rural,Male,Literate Without Level,26355,2011
district,105,Urban,Male,Literate Without Level,5517,2011
district,106,Rural,Male,Literate Without Level,15706,2011
district,106,Urban,Male,Literate Without Level,3948,2011
district,107,Rural,Male,Literate Without Level,20621,2011
district,107,Urban,Male,Literate Without Level,5373,2011
district,108,Rural,Male,Literate Without Level,20225,2011
district,108,Urban,Male,Literate Without Level,9024,2011
district,109,Rural,Male,Literate Without Level,24807,2011
district,109,Urban,Male,Literate Without Level,10192,2011
district,110,Rural,Male,Literate Without Level,17904,2011
district,110,Urban,Male,Literate Without Level,27313,2011
district,111,Rural,Male,Literate Without Level,20752,2011
district,111,Urban,Male,Literate Without Level,8652,2011
district,112,Rural,Male,Literate Without Level,47896,2011
district,112,Urban,Male,Literate Without Level,8499,2011
district,113,Rural,Male,Literate Without Level,20314,2011
district,113,Urban,Male,Literate Without Level,21591,2011
district,114,Rural,Male,Literate Without Level,6575,2011
district,114,Urban,Male,Literate Without Level,1438,2011
district,115,Rural,Male,Literate Without Level,30262,2011
district,115,Urban,Male,Literate Without Level,2287,2011
district,116,Rural,Male,Literate Without Level,30566,2011
district,116,Urban,Male,Literate Without Level,3147,2011
district,117,Rural,Male,Literate Without Level,10651,2011
district,117,Urban,Male,Literate Without Level,4587,2011
district,118,Rural,Male,Literate Without Level,20586,2011
district,118,Urban,Male,Literate Without Level,6873,2011
district,119,Rural,Male,Literate Without Level,68714,2011
district,119,Urban,Male,Literate Without Level,50967,2011
district,120,Rural,Male,Literate Without Level,15936,2011
district,120,Urban,Male,Literate Without Level,5124,2011
district,121,Rural,Male,Literate Without Level,10246,2011
district,121,Urban,Male,Literate Without Level,2103,2011
district,122,Rural,Male,Literate Without Level,47153,2011
district,122,Urban,Male,Literate Without Level,23257,2011
district,123,Rural,Male,Literate Without Level,9222,2011
district,123,Urban,Male,Literate Without Level,1701,2011
district,124,Rural,Male,Literate Without Level,19110,2011
district,124,Urban,Male,Literate Without Level,1340,2011
district,125,Rural,Male,Literate Without Level,25563,2011
district,125,Urban,Male,Literate Without Level,3159,2011
district,126,Rural,Male,Literate Without Level,19784,2011
district,126,Urban,Male,Literate Without Level,7154,2011
district,127,Rural,Male,Literate Without Level,7983,2011
district,127,Urban,Male,Literate Without Level,11119,2011
district,128,Rural,Male,Literate Without Level,16757,2011
district,128,Urban,Male,Literate Without Level,3577,2011
district,129,Rural,Male,Literate Without Level,12323,2011
district,129,Urban,Male,Literate Without Level,2849,2011
district,130,Rural,Male,Literate Without Level,57855,2011
district,130,Urban,Male,Literate Without Level,6748,2011
district,131,Rural,Male,Literate Without Level,7652,2011
district,131,Urban,Male,Literate Without Level,689,2011
district,132,Rural,Male,Literate Without Level,33220,2011
district,132,Urban,Male,Literate Without Level,20769,2011
district,133,Rural,Male,Literate Without Level,34882,2011
district,133,Urban,Male,Literate Without Level,12599,2011
district,134,Rural,Male,Literate Without Level,57042,2011
district,134,Urban,Male,Literate Without Level,18652,2011
district,135,Rural,Male,Literate Without Level,64567,2011
district,135,Urban,Male,Literate Without Level,29686,2011
district,136,Rural,Male,Literate Without Level,25967,2011
district,136,Urban,Male,Literate Without Level,8853,2011
district,137,Rural,Male,Literate Without Level,17912,2011
district,137,Urban,Male,Literate Without Level,7038,2011
district,138,Rural,Male,Literate Without Level,34372,2011
district,138,Urban,Male,Literate Without Level,42418,2011
district,139,Rural,Male,Literate Without Level,23718,2011
district,139,Urban,Male,Literate Without Level,3220,2011
district,140,Rural,Male,Literate Without Level,19422,2011
