geo_level,geo_code,age,area,sex,total,geo_version
state,35,20-24,Rural,Female,10886,2011
state,35,25-29,Rural,Female,11883,2011
state,35,30-34,Rural,Female,9866,2011
state,35,35-39,Rural,Female,9378,2011
state,35,40-44,Rural,Female,7038,2011
state,35,45-49,Rural,Female,6441,2011
state,35,50-54,Rural,Female,4688,2011
state,35,55-59,Rural,Female,3773,2011
state,35,60-64,Rural,Female,3203,2011
state,35,65-69,Rural,Female,1992,2011
state,35,70-74,Rural,Female,1218,2011
state,35,75-79,Rural,Female,654,2011
state,35,80+,Rural,Female,865,2011
state,35,Age not stated,Rural,Female,79,2011
district,1,0-4,Rural,Female,55912,2011
district,1,5-9,Rural,Female,54045,2011
district,1,10-14,Rural,Female,49553,2011
district,1,15-19,Rural,Female,35791,2011
district,1,20-24,Rural,Female,28860,2011
district,1,25-29,Rural,Female,23657,2011
district,1,30-34,Rural,Female,20845,2011
district,1,35-39,Rural,Female,19485,2011
district,1,40-44,Rural,Female,15504,2011
district,1,45-49,Rural,Female,12492,2011
district,1,50-54,Rural,Female,9451,2011
district,1,55-59,Rural,Female,7355,2011
district,1,60-64,Rural,Female,7062,2011
district,1,65-69,Rural,Female,4305,2011
district,1,70-74,Rural,Female,4081,2011
district,1,75-79,Rural,Female,1708,2011
district,1,80+,Rural,Female,2966,2011
district,1,Age not stated,Rural,Female,515,2011
district,2,0-4,Rural,Female,43900,2011
district,2,5-9,Rural,Female,44929,2011
district,2,10-14,Rural,Female,40488,2011
district,2,15-19,Rural,Female,32844,2011
district,2,20-24,Rural,Female,26559,2011
district,2,25-29,Rural,Female,21719,2011
district,2,30-34,Rural,Female,18739,2011
