geo_level,geo_code,area,literacy,sex,total,geo_version
district,291,Urban,Literate,Male,18003,2011
district,292,Rural,Literate,Male,223462,2011
district,292,Urban,Literate,Male,52184,2011
state,17,Rural,Literate,Male,675636,2011
state,17,Urban,Literate,Male,238243,2011
district,293,Rural,Literate,Male,163020,2011
district,293,Urban,Literate,Male,30418,2011
district,294,Rural,Literate,Male,84705,2011
district,294,Urban,Literate,Male,17808,2011
district,295,Rural,Literate,Male,39880,2011
district,295,Urban,Literate,Male,5123,2011
district,296,Rural,Literate,Male,102493,2011
district,296,Urban,Literate,Male,14814,2011
district,297,Rural,Literate,Male,70682,2011
district,297,Urban,Literate,Male,10295,2011
district,298,Rural,Literate,Male,138245,2011
district,298,Urban,Literate,Male,149025,2011
district,299,Rural,Literate,Male,76611,2011
district,299,Urban,Literate,Male,10760,2011
state,18,Rural,Literate,Male,8706193,2011
state,18,Urban,Literate,Male,1862446,2011
district,300,Rural,Literate,Male,251658,2011
district,300,Urban,Literate,Male,23562,2011
district,301,Rural,Literate,Male,431395,2011
district,301,Urban,Literate,Male,80156,2011
district,302,Rural,Literate,Male,256085,2011
district,302,Urban,Literate,Male,48217,2011
district,303,Rural,Literate,Male,437702,2011
district,303,Urban,Literate,Male,61336,2011
district,304,Rural,Literate,Male,260603,2011
district,304,Urban,Literate,Male,29095,2011
district,305,Rural,Literate,Male,769517,2011
district,305,Urban,Literate,Male,152333,2011
district,306,Rural,Literate,Male,546151,2011
district,306,Urban,Literate,Male,74374,2011
district,307,Rural,Literate,Male,337806,2011
district,307,Urban,Literate,Male,37746,2011
