,DISTRICT NAME,GDP (in Rs. Cr.)|2004-05,GDP (in Rs. Cr.)|2005-06,GDP (in Rs. Cr.)|2006-07,GDP (in Rs. Cr.)|2007-08,GDP (in Rs. Cr.)|2008-09,GDP (in Rs. Cr.)|2009-10,GDP (in Rs. Cr.)|2010-11,GDP (in Rs. Cr.)|2011-12,GDP (in Rs. Cr.)|2012-13,Growth Rate % (YoY)|2005-06,Growth Rate % (YoY)|2006-07,Growth Rate % (YoY)|2007-08,Growth Rate % (YoY)|2008-09,Growth Rate % (YoY)|2009-10,Growth Rate % (YoY)|2010-11,Growth Rate % (YoY)|2011-12,Growth Rate % (YoY)|2012-13,STATE NAME
6,BELLARY,NA,NA,NA,"12,350","13,317","13,454","19,498",NA,NA,NA,NA,NA,7.83,1.03,44.92,NA,NA,KARNATAKA
7,BIDAR,NA,NA,NA,"3,829","4,288","4,645","6,006",NA,NA,NA,NA,NA,11.99,8.33,29.3,NA,NA,KARNATAKA
8,BIJAPUR,NA,NA,NA,"5,721","6,348","6,480","8,828",NA,NA,NA,NA,NA,10.96,2.08,36.23,NA,NA,KARNATAKA
9,CHAMARAJANAGAR,NA,NA,NA,"2,778","30,409","3,229","3,757",NA,NA,NA,NA,NA,994.64,-89.38,16.35,NA,NA,KARNATAKA
10,CHICKBALLAPUR,NA,NA,NA,"3,744","4,135","4,251","4,652",NA,NA,NA,NA,NA,10.44,2.81,9.43,NA,NA,KARNATAKA
11,CHICKMAGALUR,NA,NA,NA,"4,709","5,219","6,132","7,351",NA,NA,NA,NA,NA,10.83,17.49,19.88,NA,NA,KARNATAKA
12,CHITRADURGA,NA,NA,NA,"5,137","5,654","6,533","8,365",NA,NA,NA,NA,NA,10.06,15.55,28.04,NA,NA,KARNATAKA
13,DAKSHINA KANNADA,NA,NA,NA,"1,239","14,012","17,735","19,673",NA,NA,NA,NA,NA,"1,030.91",26.57,10.93,NA,NA,KARNATAKA
14,DAVANGERE,NA,NA,NA,"6,627","7,372","8,376","9,467",NA,NA,NA,NA,NA,11.24,13.62,13.03,NA,NA,KARNATAKA
15,DHARWAD,NA,NA,NA,"8,364","9,383","11,842","13,916",NA,NA,NA,NA,NA,12.18,26.21,17.51,NA,NA,KARNATAKA
16,GADAG,NA,NA,NA,"3,314","3,725","3,927","4,705",NA,NA,NA,NA,NA,12.4,5.42,19.81,NA,NA,KARNATAKA
17,GULBARGA,NA,NA,NA,"9,269","10,249","7,615","10,113",NA,NA,NA,NA,NA,10.57,-25.7,32.8,NA,NA,KARNATAKA
18,HASSAN,NA,NA,NA,"5,634","6,276","7,956","9,811",NA,NA,NA,NA,NA,11.4,26.77,23.32,NA,NA,KARNATAKA
19,HAVERI,NA,NA,NA,"4,202","4,641","4,974","5,840",NA,NA,NA,NA,NA,10.45,7.18,17.41,NA,NA,KARNATAKA
20,KODAGU,NA,NA,NA,"3,898","4,276","5,063","5,701",NA,NA,NA,NA,NA,9.7,18.41,12.6,NA,NA,KARNATAKA
21,KOLAR,NA,NA,NA,"5,471","5,974","7,515","7,870",NA,NA,NA,NA,NA,9.19,25.8,4.72,NA,NA,KARNATAKA
22,KOPPAL,NA,NA,NA,"3,679","4,037","4,533","5,863",NA,NA,NA,NA,NA,9.73,12.29,29.34,NA,NA,KARNATAKA
23,MANDYA,NA,NA,NA,"5,322","5,829","5,828","7,497",NA,NA,NA,NA,NA,9.53,-0.02,28.64,NA,NA,KARNATAKA
24,MYSORE,NA,NA,NA,"10,784","11,974","15,117","19,122",NA,NA,NA,NA,NA,11.03,26.25,26.49,NA,NA,KARNATAKA
25,RAICHUR,NA,NA,NA,"4,950","5,454","5,962","7,268",NA,NA,NA,NA,NA,10.18,9.31,21.91,NA,NA,KARNATAKA
26,RAMNAGARA,NA,NA,NA,"4,479","4,930","4,740","7,824",NA,NA,NA,NA,NA,10.07,-3.85,65.06,NA,NA,KARNATAKA
27,SHIMOGA,NA,NA,NA,"7,340","8,130","8,930","10,023",NA,NA,NA,NA,NA,10.76,9.84,12.24,NA,NA,KARNATAKA
28,TUMKUR,NA,NA,NA,"8,772","9,682","10,908","13,684",NA,NA,NA,NA,NA,10.37,12.66,25.45,NA,NA,KARNATAKA
29,UDUPI,NA,NA,NA,"6,374","7,276","7,998","9,340",NA,NA,NA,NA,NA,14.15,9.92,16.78,NA,NA,KARNATAKA
30,UTTARA KANNADS,NA,NA,NA,"5,010","5,683","6,045","7,983",NA,NA,NA,NA,NA,13.43,6.37,32.06,NA,NA,KARNATAKA
31,YADAGIRI,NA,NA,NA,NA,NA,"3,551","3,393",NA,NA,NA,NA,NA,NA,NA,-4.45,NA,NA,KARNATAKA
2,ALAPPUZHA,7610.28,8780.71,9975.1,11308.12,13240.2,15439.7,16644.02,19481.11,22283.58,15.38,13.6,13.36,17.09,16.61,7.8,17.05,14.39,KERALA
