LEVEL,YEAR,NAME,AREA,NO_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
DISTRICT,2011,Kishtwar,Urban,2710,14865,8179,6686,1627,871,756,287,159,128,80,49,31,11394,6766,4628,3471,1413,2058,4878,4139,739,4459,3798,661,34,28,6,17,16,1,5,3,2,4403,3751,652,419,341,78,30,22,8,31,26,5,18,11,7,340,282,58,392,316,76,30,22,8,22,17,5,17,11,6,323,266,57,27,25,2,0,0,0,9,9,0,1,0,1,17,16,1,9987,4040,5947
DISTRICT,2011,Kishtwar,Rural,42499,215831,111986,103845,37769,19608,18161,14020,7163,6857,38069,19840,18229,96112,61934,34178,119719,50052,69667,78096,52640,25456,40259,32312,7947,19176,14664,4512,3566,2653,913,393,246,147,17124,14749,2375,37837,20328,17509,20031,8571,11460,12682,8179,4503,770,206,564,4354,3372,982,26435,15146,11289,14165,6617,7548,8294,5692,2602,544,159,385,3432,2678,754,11402,5182,6220,5866,1954,3912,4388,2487,1901,226,47,179,922,694,228,137735,59346,78389
DISTRICT,2011,Kishanganj,Urban,31948,161123,83652,77471,26838,13643,13195,17348,8885,8463,3256,1629,1627,95590,53611,41979,65533,30041,35492,51154,41261,9893,42101,35850,6251,2894,2663,231,7333,6255,1078,1258,764,494,30616,26168,4448,9053,5411,3642,302,189,113,3016,1778,1238,496,158,338,5239,3286,1953,7410,4653,2757,203,137,66,2193,1368,825,382,117,265,4632,3031,1601,1643,758,885,99,52,47,823,410,413,114,41,73,607,255,352,109969,42391,67578
DISTRICT,2011,Kishanganj,Rural,306497,1529277,783318,745959,320066,162319,157747,95770,49079,46691,60968,30877,30091,649466,386310,263156,879811,397008,482803,477910,379931,97979,342315,298650,43665,87453,81598,5855,212968,184880,28088,4574,2961,1613,37320,29211,8109,135595,81281,54314,17213,10360,6853,98550,61900,36650,5305,1550,3755,14527,7471,7056,111183,70959,40224,13608,8840,4768,82712,54620,28092,3294,1063,2231,11569,6436,5133,24412,10322,14090,3605,1520,2085,15838,7280,8558,2011,487,1524,2958,1035,1923,1051367,403387,647980
DISTRICT,2011,Kiphire,Urban,3109,16487,8587,7900,2924,1486,1438,0,0,0,15298,7813,7485,11845,6420,5425,4642,2167,2475,4657,2951,1706,3558,2484,1074,983,493,490,75,45,30,21,12,9,2479,1934,545,1099,467,632,380,112,268,172,83,89,80,24,56,467,248,219,940,408,532,331,99,232,121,53,68,69,22,47,419,234,185,159,59,100,49,13,36,51,30,21,11,2,9,48,14,34,11830,5636,6194
DISTRICT,2011,Kiphire,Rural,11662,57517,29243,28274,11787,6064,5723,0,0,0,56131,28404,27727,29387,16255,13132,28130,12988,15142,27302,13829,13473,22272,11697,10575,17467,8020,9447,365,166,199,302,134,168,4138,3377,761,5030,2132,2898,2602,952,1650,647,310,337,346,137,209,1435,733,702,3678,1510,2168,1858,630,1228,504,236,268,230,90,140,1086,554,532,1352,622,730,744,322,422,143,74,69,116,47,69,349,179,170,30215,15414,14801
DISTRICT,2011,Kinnaur,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT,2011,Kinnaur,Rural,19976,84121,46249,37872,8246,4200,4046,14750,7433,7317,48746,23609,25137,60699,36697,24002,23422,9552,13870,56273,33863,22410,46782,29911,16871,25890,12912,12978,1759,1157,602,614,402,212,18519,15440,3079,9491,3952,5539,7105,2510,4595,778,445,333,330,164,166,1278,833,445,5941,2314,3627,4376,1341,3035,633,364,269,145,75,70,787,534,253,3550,1638,1912,2729,1169,1560,145,81,64,185,89,96,491,299,192,27848,12386,15462
DISTRICT,2011,Khunti,Urban,9055,44982,22841,22141,5748,2973,2775,2814,1424,1390,18157,8800,9357,32842,17741,15101,12140,5100,7040,14003,10192,3811,10501,8179,2322,1197,908,289,372,250,122,498,346,152,8434,6675,1759,3502,2013,1489,832,412,420,382,218,164,177,98,79,2111,1285,826,2684,1668,1016,630,366,264,315,185,130,138,79,59,1601,1038,563,818,345,473,202,46,156,67,33,34,39,19,20,510,247,263,30979,12649,18330
DISTRICT,2011,Khunti,Rural,94645,486903,243494,243409,80544,40974,39570,21223,10799,10424,371469,184910,186559,251733,147000,104733,235170,96494,138676,245981,130931,115050,142586,85633,56953,106025,63660,42365,16050,8333,7717,4376,2493,1883,16135,11147,4988,103395,45298,58097,58236,25974,32262,32644,12756,19888,4194,1671,2523,8321,4897,3424,86733,38780,47953,49760,22494,27266,26952,10965,15987,3363,1306,2057,6658,4015,2643,16662,6518,10144,8476,3480,4996,5692,1791,3901,831,365,466,1663,882,781,240922,112563,128359
