LEVEL,YEAR,NAME,AREA,NO_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,UNNAMED: 64
DISTRICT,2001,Rewari,Urban,24708,136174,73573,62601,18618,10250,8368,22663,12109,10554,0,0,0,96688,57078,39610,39486,16495,22991,41040,35354,5686,35305,31772,3533,1097,818,279,245,194,51,1349,1166,183,32614,29594,3020,5735,3582,2153,273,84,189,1084,480,604,424,222,202,3954,2796,1158,95134,38219,56915,
DISTRICT,2001,Rewari,Rural,110852,629177,329461,299716,97946,54102,43844,121789,64049,57740,0,0,0,391502,242482,149020,237675,86979,150696,292582,165046,127536,169550,127737,41813,81943,57975,23968,8903,6264,2639,4541,3355,1186,74163,60143,14020,123032,37309,85723,64905,17665,47240,34209,10669,23540,2361,580,1781,21557,8395,13162,336595,164415,172180,
DISTRICT,2001,Rewa,Urban,56458,320563,170694,149869,49747,26118,23629,37413,19496,17917,19836,10488,9348,205777,123847,81930,114786,46847,67939,100105,75091,25014,82548,67031,15517,8885,6790,2095,7478,4520,2958,8247,4923,3324,57938,50798,7140,17557,8060,9497,3143,1078,2065,5257,1901,3356,2861,909,1952,6296,4172,2124,220458,95603,124855,
DISTRICT,2001,Rewa,Rural,306199,1652743,845993,806750,324890,168365,156525,269822,138952,130870,234225,121570,112655,785633,498120,287513,867110,347873,519237,762854,427016,335838,502486,342046,160440,238278,161981,76297,171159,102293,68866,21969,14703,7266,71080,63069,8011,260368,84970,175398,123372,38624,84748,117931,37675,80256,7698,2580,5118,11367,6091,5276,889889,418977,470912,
DISTRICT,2001,Rayagada,Urban,25124,115407,58634,56773,14395,7373,7022,15880,7815,8065,14001,6812,7189,72960,41928,31032,42447,16706,25741,36863,29040,7823,32498,27311,5187,1109,893,216,1830,1044,786,783,611,172,28776,24763,4013,4365,1729,2636,98,49,49,1162,231,931,297,65,232,2808,1384,1424,78544,29594,48950,
DISTRICT,2001,Rayagada,Rural,165257,715702,351158,364544,131098,66078,65020,99785,49450,50335,449417,218096,231321,174869,120133,54736,540833,231025,309808,362321,196327,165994,217411,152621,64790,94274,71679,22595,74598,44106,30492,3883,2687,1196,44656,34149,10507,144910,43706,101204,20685,6374,14311,106274,30459,75815,2628,702,1926,15323,6171,9152,353381,154831,198550,
DISTRICT,2001,Ratnagiri,Urban,41326,192209,98863,93346,23180,12113,11067,4615,2387,2228,1263,809,454,149177,79523,69654,43032,19340,23692,65068,51592,13476,58791,48505,10286,1556,859,697,524,299,225,1185,771,414,55526,46576,8950,6277,3087,3190,680,206,474,613,250,363,701,200,501,4283,2431,1852,127141,47271,79870,
DISTRICT,2001,Ratnagiri,Rural,336040,1504568,695635,808933,213421,109083,104338,19900,9867,10033,18839,9601,9238,946656,498807,447849,557912,196828,361084,698319,355188,343131,498822,289283,209539,290737,128689,162048,44604,23923,20681,8202,6205,1997,155279,130466,24813,199497,65905,133592,109588,29407,80181,56204,17443,38761,4895,1724,3171,28810,17331,11479,806249,340447,465802,
DISTRICT,2001,Ratlam,Urban,66510,368434,189632,178802,51185,26505,24680,37921,19439,18482,13698,7385,6313,256773,145013,111760,111661,44619,67042,113081,92922,20159,99794,85158,14636,7416,5286,2130,3113,1746,1367,4312,3366,946,84953,74760,10193,13287,7764,5523,1005,146,859,2346,639,1707,706,217,489,9230,6762,2468,255353,96710,158643,
DISTRICT,2001,Ratlam,Rural,151191,846959,431230,415729,162684,82770,79914,125080,63764,61316,301006,151990,149016,415942,261778,154164,431017,169452,261565,434771,239646,195125,305255,207095,98160,202391,139107,63284,67851,38334,29517,3899,3015,884,31114,26639,4475,129516,32551,96965,42687,8141,34546,81729,21745,59984,1089,356,733,4011,2309,1702,412188,191584,220604,
DISTRICT,2001,Rangareddi,Urban,416316,1937837,1004648,933189,250662,128542,122120,183009,92660,90349,26276,13772,12504,1304884,734904,569980,632953,269744,363209,634302,515780,118522,580924,481403,99521,8125,5033,3092,11274,6668,4606,16736,11404,5332,544789,458298,86491,53378,34377,19001,749,342,407,4831,2377,2454,5036,2678,2358,42762,28980,13782,1303535,488868,814667,
DISTRICT,2001,Rangareddi,Rural,326274,1637227,834579,802648,249362,126674,122688,337036,170916,166120,119781,61282,58499,729497,457196,272301,907730,377383,530347,803304,465532,337772,683479,421992,261487,264459,164172,100287,200515,86492,114023,15325,9271,6054,203180,162057,41123,119825,43540,76285,9011,3367,5644,82955,24008,58947,4138,1542,2596,23721,14623,9098,833923,369047,464876,
DISTRICT,2001,Ranchi,Urban,168879,977821,520629,457192,133375,68855,64520,53743,28334,25409,200382,100785,99597,701680,405082,296598,276141,115547,160594,259155,218013,41142,227070,196277,30793,2900,2205,695,2888,2045,843,6121,4961,1160,215161,187066,28095,32085,21736,10349,900,473,427,4009,2134,1875,1883,765,1118,25293,18364,6929,718666,302616,416050,
DISTRICT,2001,Ranchi,Rural,336629,1807243,916347,890896,327710,166271,161439,90373,46195,44178,964242,484797,479445,798861,515082,283779,1008382,401265,607117,817749,466009,351740,523892,361190,162702,349565,231589,117976,61470,37896,23574,18234,11996,6238,94623,79709,14914,293857,104819,189038,122630,38679,83951,133916,46555,87361,8172,2635,5537,29139,16950,12189,989494,450338,539156,
DISTRICT,2001,Rampur,Urban,71985,480453,252571,227882,79886,41323,38563,24806,13286,11520,189,151,38,209024,122577,86447,271429,129994,141435,133264,118331,14933,116735,106882,9853,8808,8436,372,10275,9823,452,15081,11130,3951,82571,77493,5078,16529,11449,5080,457,233,224,2064,1830,234,4950,1771,3179,9058,7615,1443,347189,134240,212949,
DISTRICT,2001,Rampur,Rural,216348,1443286,771204,672082,318337,165892,152445,232559,124418,108141,169,86,83,382327,271020,111307,1060959,500184,560775,411147,363951,47196,340440,321060,19380,200080,192165,7915,84519,79882,4637,9612,6903,2709,46229,42110,4119,70707,42891,27816,16018,7317,8701,36869,27731,9138,6250,1504,4746,11570,6339,5231,1032139,407253,624886,
DISTRICT,2001,Ramanathapuram,Urban,63935,302394,150086,152308,38033,19297,18736,30253,15223,15030,682,344,338,223189,118847,104342,79205,31239,47966,94802,77471,17331,86532,73041,13491,2267,1629,638,3217,2000,1217,6949,4303,2646,74099,65109,8990,8270,4430,3840,244,115,129,3234,1371,1863,1057,272,785,3735,2672,1063,207592,72615,134977,
DISTRICT,2001,Ramanathapuram,Rural,202265,885210,433290,451920,111554,56872,54682,186059,92158,93901,396,212,184,534155,302194,231961,351055,131096,219959,425771,243229,182542,346911,216288,130623,162646,93061,69585,72793,35388,37405,10944,3434,7510,100528,84405,16123,78860,26941,51919,15118,5693,9425,45242,13885,31357,6937,567,6370,11563,6796,4767,459439,190061,269378,
DISTRICT,2001,Rajsamand,Urban,24127,128723,66829,61894,19236,10067,9169,14664,7335,7329,7087,3648,3439,87249,51245,36004,41474,15584,25890,38655,33266,5389,34856,31111,3745,1735,1175,560,224,144,80,1860,1537,323,31037,28255,2782,3799,2155,1644,325,73,252,229,62,167,331,101,230,2914,1919,995,90068,33563,56505,
DISTRICT,2001,Rajsamand,Rural,169617,858301,426630,431671,160948,82994,77954,107838,54370,53468,122111,62009,60102,361797,245005,116792,496504,181625,314879,363203,220437,142766,241056,184489,56567,108558,73884,34674,16410,9879,6531,7696,5737,1959,108392,94989,13403,122147,35948,86199,53858,11185,42673,37064,9003,28061,3737,925,2812,27488,14835,12653,495098,206193,288905,
DISTRICT,2001,Rajnandgaon,Urban,44640,231647,117257,114390,31146,16054,15092,32211,16034,16177,15637,7813,7824,165187,91984,73203,66460,25273,41187,81576,58119,23457,73540,54539,19001,5220,2971,2249,4634,2009,2625,5503,2815,2688,58183,46744,11439,8036,3580,4456,747,266,481,3399,1149,2250,420,96,324,3470,2069,1401,150071,59138,90933,
DISTRICT,2001,Rajnandgaon,Rural,201884,1051577,517085,534492,186098,93467,92631,95213,46810,48403,326051,158774,167277,657889,365521,292368,393688,151564,242124,567825,283974,283851,485456,256573,228883,316986,159873,157113,109447,47700,61747,5770,3789,1981,53253,45211,8042,82369,27401,54968,29955,9571,20384,48006,15132,32874,683,303,380,3725,2395,1330,483752,233111,250641,
DISTRICT,2001,Rajkot,Urban,311547,1625862,849170,776692,202571,110775,91796,103864,53915,49949,8901,4721,4180,1161405,648188,513217,464457,200982,263475,523082,461315,61767,494249,448806,45443,10595,8793,1802,8744,6593,2151,10362,7213,3149,464548,426207,38341,28833,12509,16324,1031,209,822,2656,1006,1650,5017,533,4484,20129,10761,9368,1102780,387855,714925,
DISTRICT,2001,Rajkot,Rural,286443,1544019,792848,751171,224613,119627,104986,140500,72766,67734,4262,2313,1949,872541,517934,354607,671478,274914,396564,721724,457209,264515,582187,430926,151261,292231,202214,90017,110696,71780,38916,7314,5620,1694,171946,151312,20634,139537,26283,113254,64936,8149,56787,56629,10692,45937,2293,368,1925,15679,7074,8605,822295,335639,486656,
DISTRICT,2001,Rajgarh,Urban,38084,217322,113491,103831,36334,18956,17378,27002,14007,12995,7585,3984,3601,130786,79200,51586,86536,34291,52245,69242,54391,14851,57635,49350,8285,5980,4624,1356,2926,1954,972,2348,1675,673,46381,41097,5284,11607,5041,6566,1747,436,1311,3310,693,2617,708,202,506,5842,3710,2132,148080,59100,88980,
DISTRICT,2001,Rajgarh,Rural,178084,1036763,535615,501148,195995,100942,95053,191704,99097,92607,39785,20584,19201,417854,286719,131135,618909,248896,370013,556252,299838,256414,380504,252987,127517,254910,166687,88223,76386,43413,32973,6748,4978,1770,42460,37909,4551,175748,46851,128897,76588,17151,59437,89803,24666,65137,2492,817,1675,6865,4217,2648,480511,235777,244734,
DISTRICT,2001,Rajauri,Urban,6124,33655,19388,14267,4124,2255,1869,1820,952,868,1877,1095,782,25215,15703,9512,8440,3685,4755,12555,10746,1809,11526,10211,1315,282,258,24,53,39,14,137,110,27,11054,9804,1250,1029,535,494,369,81,288,52,45,7,65,7,58,543,402,141,21100,8642,12458,
